baseline_path,schema_pointer,disposition,destination,meaning,owner
testimony[].date.date,#/$defs/TestimonyDate/properties/date,reorganized,account.fields.recordedTime,Year/month/date/instant/interval retained without precision invention.,C2a witnesses/accounts
testimony[].date.certainty,#/$defs/TestimonyDate/properties/certainty,reorganized,account.fields.dateCertainty,"Sourced certainty, independent of date precision and value missingness.",C2a witnesses/accounts
testimony[].content,#/$defs/TestimonyStatement/properties/content,reorganized,account.fields.content,Sourced wording with locator and speaker linkage.,C2a witnesses/accounts
testimony[].summary,#/$defs/TestimonyStatement/properties/summary,reorganized,account.fields.summary,Summary has explicit summarizedBy attribution.,C2a witnesses/accounts
testimony[].sourceDocument,#/$defs/SourceReference,reorganized,account.fields.sourceDocument -> observation.sources/products,Reference reuses scoped source inventory; edition metadata follows in C2b.,C2a witnesses/accounts
testimony[].sourceDocument.sourceId,#/$defs/SourceReference/properties/sourceId,reorganized,account.fields.sourceDocument -> observation.sources/products,Source ID is namespaced and checked against scoped observation.,C2a witnesses/accounts
testimony[].sourceDocument.type,#/$defs/SourceReference/properties/type,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.title,#/$defs/SourceReference/properties/title,reorganized,observation.sources[].title,Existing source title reused.,C2a witnesses/accounts
testimony[].sourceDocument.author,#/$defs/SourceReference/properties/author,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.organization,#/$defs/SourceReference/properties/organization,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.date,#/$defs/SourceReference/properties/date,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.url,#/$defs/SourceReference/properties/url,reorganized,observation.sources[].uri,"Existing URI reused; does not establish bytes, identity or access.",C2a witnesses/accounts
testimony[].sourceDocument.archiveUrl,#/$defs/SourceReference/properties/archiveUrl,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.reference,#/$defs/SourceReference/properties/reference,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.credibility,#/$defs/SourceReference/properties/credibility,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.isPrimarySource,#/$defs/SourceReference/properties/isPrimarySource,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.classificationLevel,#/$defs/SourceReference/properties/classificationLevel,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].sourceDocument.notes,#/$defs/SourceReference/properties/notes,deferred,C2b document edition metadata and attributable source review,Retained in frozen baseline; this checkpoint does not claim implementation of document-edition detail.,C2b documents/digital provenance
testimony[].chainOfCustody,#/$defs/TestimonyStatement/properties/chainOfCustody,reorganized,account.fields.custodyStatus,Preserve sourced status vocabulary; action-level digital custody follows in C2b.,C2a witnesses/accounts
testimony[].additionalEvidenceIds,#/$defs/TestimonyStatement/properties/additionalEvidenceIds,reorganized,account.fields.supportRefs,Closed source/product references; links do not assert corroboration.,C2a witnesses/accounts
