baseline_path,schema_pointer,disposition,destination,meaning,owner
sourceData.primarySource.credibility,#/$defs/SourceReference/properties/credibility,reorganized,source_assertion.reportedArtifactReview.sourceCredibility or assessment.artifactReview.sourceCredibility,Retained tier vocabulary in an attributed statement or review with edition subject; no automatic credibility score.,C2b archival
sourceData.primarySource.isPrimarySource,#/$defs/SourceReference/properties/isPrimarySource,revised,source_edition.fields.isPrimarySource,"Boolean retained with context explaining primary in relation to what; missing context is unknown or unmapped, never invented.",C2b archival
sourceData.primarySource.classificationLevel,#/$defs/SourceReference/properties/classificationLevel,reorganized,source_edition.fields.classificationLevel or document_event,Retain wording and provenance without converting historical classification into a current marking; ambiguity remains unmapped or qualified.,C2b archival
sourceData.primarySource.notes,#/$defs/SourceReference/properties/notes,reorganized,source_edition.fields.notes,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.sources,#/$defs/SourceData/properties/sources,reorganized,source_edition[],Independent exact editions; repeated titles and differing pagination are preserved.,C2b archival
sourceData.sources[].sourceId,#/$defs/SourceReference/properties/sourceId,reorganized,observation.sources[].id + source_edition.artifact.sourceRef,Explicit inventory identity with declared SHA-256; title and URL never identify interchangeable editions.,C2b archival
sourceData.sources[].type,#/$defs/SourceReference/properties/type,reorganized,source_edition.fields.type,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.sources[].title,#/$defs/SourceReference/properties/title,reorganized,source_edition.fields.title,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.sources[].author,#/$defs/SourceReference/properties/author,reorganized,source_edition.fields.author,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.sources[].organization,#/$defs/SourceReference/properties/organization,reorganized,source_edition.fields.organization,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.sources[].date,#/$defs/SourceReference/properties/date,revised,source_edition.fields.issuedAt,Calendar precision retained in EventTimeValue; source wording of publication versus creation is retained and not guessed.,C2b archival
sourceData.sources[].url,#/$defs/SourceReference/properties/url,revised,source_edition.fields.originalUrl,"Declared public URL, never fetched. Invalid URL text remains an unmapped sourced value; private addresses must be withheld by the application.",C2b archival
sourceData.sources[].archiveUrl,#/$defs/SourceReference/properties/archiveUrl,revised,source_edition.fields.archiveUrl,"Declared public URL, never fetched. Invalid URL text remains an unmapped sourced value; private addresses must be withheld by the application.",C2b archival
sourceData.sources[].reference,#/$defs/SourceReference/properties/reference,reorganized,source_edition.fields.reference,"Original citation text preserved; structured edition citations additionally bind page, time range or JSON pointer to exact artifact.",C2b archival
sourceData.sources[].credibility,#/$defs/SourceReference/properties/credibility,reorganized,source_assertion.reportedArtifactReview.sourceCredibility or assessment.artifactReview.sourceCredibility,Retained tier vocabulary in an attributed statement or review with edition subject; no automatic credibility score.,C2b archival
sourceData.sources[].isPrimarySource,#/$defs/SourceReference/properties/isPrimarySource,revised,source_edition.fields.isPrimarySource,"Boolean retained with context explaining primary in relation to what; missing context is unknown or unmapped, never invented.",C2b archival
sourceData.sources[].classificationLevel,#/$defs/SourceReference/properties/classificationLevel,reorganized,source_edition.fields.classificationLevel or document_event,Retain wording and provenance without converting historical classification into a current marking; ambiguity remains unmapped or qualified.,C2b archival
sourceData.sources[].notes,#/$defs/SourceReference/properties/notes,reorganized,source_edition.fields.notes,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.originalClassification,#/$defs/SourceData/properties/originalClassification,reorganized,source_edition.fields.originalClassification,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
sourceData.declassificationDate,#/$defs/SourceData/properties/declassificationDate,revised,document_event.fields.eventType=declassification + occurredAt,"Precision-aware declassification event, separate from release; unknown declassification is not a release date.",C2b archival
sourceData.foiaRequestId,#/$defs/SourceData/properties/foiaRequestId,reorganized,source_edition.fields.foiaRequestNumber,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
sourceData.archiveLocation,#/$defs/SourceData/properties/archiveLocation,reorganized,source_edition.fields.archiveLocation,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
documents,#/$defs/Observation/properties/documents,reorganized,source_edition[],Each document metadata occurrence needs its own resolved edition identity; no title-based or position-based joins.,C2b archival
documents[].documentType,#/$defs/DocumentMetadata/properties/documentType,reorganized,source_edition.fields.documentType,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
documents[].classificationLevel,#/$defs/DocumentMetadata/properties/classificationLevel,reorganized,source_edition.fields.classificationLevel,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
documents[].originatingAgency,#/$defs/DocumentMetadata/properties/originatingAgency,reorganized,source_edition.fields.originatingAgency,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
documents[].controlNumbers,#/$defs/DocumentMetadata/properties/controlNumbers,reorganized,source_edition.fields.controlNumbers,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
documents[].foiaRequestNumber,#/$defs/DocumentMetadata/properties/foiaRequestNumber,reorganized,source_edition.fields.foiaRequestNumber,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
documents[].declassificationDate,#/$defs/DocumentMetadata/properties/declassificationDate,revised,document_event.fields.eventType=declassification + occurredAt,"Precision-aware declassification event, separate from release; unknown declassification is not a release date.",C2b archival
documents[].originalClassification,#/$defs/DocumentMetadata/properties/originalClassification,reorganized,source_edition.fields.originalClassification,Sourced edition metadata; no value derived from publication or from a similarly titled file.,C2b archival
documents[].pageCount,#/$defs/DocumentMetadata/properties/pageCount,revised,source_edition.fields.pageCount,"Positive integer for this edition; fractional or invalid declarations are unmapped, never rounded.",C2b archival
documents[].redactionLevel,#/$defs/DocumentMetadata/properties/redactionLevel,reorganized,source_edition.fields.redactionLevel,Original qualitative vocabulary preserved; partial or heavy does not invent a percentage.,C2b archival
provenance,#/$defs/Provenance,reorganized,digital_artifact + digital_custody_action[],"Preserve digital custody/provenance with exact item scope; generic or physical-item records require C2c resolution, not a fabricated digital artifact.",C2b archival / C2c physical custody
provenance.custodyStatus,#/$defs/Provenance/properties/custodyStatus,reorganized,digital_artifact.fields.custodyStatus,"Preserve digital custody/provenance with exact item scope; generic or physical-item records require C2c resolution, not a fabricated digital artifact.",C2b archival / C2c physical custody
provenance.custody,#/$defs/ChainOfCustodyRecord,reorganized,digital_artifact + digital_custody_action[],Digital-item scope only. Declared status is not computed from entries; physical-item custody remains C2c.,C2b archival / C2c physical custody
provenance.custody.evidenceId,#/$defs/ChainOfCustodyRecord/properties/evidenceId,reorganized,digital_artifact.id + digital_custody_action.artifactId,Digital-item scope only. Declared status is not computed from entries; physical-item custody remains C2c.,C2b archival / C2c physical custody
provenance.custody.status,#/$defs/ChainOfCustodyRecord/properties/status,reorganized,digital_artifact.fields.custodyStatus,Digital-item scope only. Declared status is not computed from entries; physical-item custody remains C2c.,C2b archival / C2c physical custody
provenance.custody.entries,#/$defs/ChainOfCustodyRecord/properties/entries,reorganized,digital_custody_action[],Digital-item scope only. Declared status is not computed from entries; physical-item custody remains C2c.,C2b archival / C2c physical custody
provenance.custody.entries[].entryId,#/$defs/CustodyEntry/properties/entryId,reorganized,digital_custody_action.id,Sourced digital custody action; explicit predecessor gives order and an unknown predecessor records a gap. Physical custody belongs to C2c.,C2b archival / C2c physical custody
provenance.custody.entries[].date,#/$defs/CustodyEntry/properties/date,revised,digital_custody_action.fields.occurredAt,Original calendar precision preserved; only comparable known points checked for reversed predecessor order.,C2b archival / C2c physical custody
provenance.custody.entries[].action,#/$defs/CustodyEntry/properties/action,reorganized,digital_custody_action.fields.action,Sourced digital custody action; explicit predecessor gives order and an unknown predecessor records a gap. Physical custody belongs to C2c.,C2b archival / C2c physical custody
provenance.custody.entries[].from,#/$defs/CustodyEntry/properties/from,reorganized,digital_custody_action.fields.from,Sourced digital custody action; explicit predecessor gives order and an unknown predecessor records a gap. Physical custody belongs to C2c.,C2b archival / C2c physical custody
provenance.custody.entries[].to,#/$defs/CustodyEntry/properties/to,reorganized,digital_custody_action.fields.to,Sourced digital custody action; explicit predecessor gives order and an unknown predecessor records a gap. Physical custody belongs to C2c.,C2b archival / C2c physical custody
provenance.custody.entries[].location,#/$defs/CustodyEntry/properties/location,reorganized,digital_custody_action.fields.location,Sourced digital custody action; explicit predecessor gives order and an unknown predecessor records a gap. Physical custody belongs to C2c.,C2b archival / C2c physical custody
provenance.custody.entries[].reference,#/$defs/CustodyEntry/properties/reference,reorganized,digital_custody_action.fields.reference,Sourced digital custody action; explicit predecessor gives order and an unknown predecessor records a gap. Physical custody belongs to C2c.,C2b archival / C2c physical custody
provenance.custody.entries[].notes,#/$defs/CustodyEntry/properties/notes,reorganized,digital_custody_action.fields.notes,Sourced digital custody action; explicit predecessor gives order and an unknown predecessor records a gap. Physical custody belongs to C2c.,C2b archival / C2c physical custody
provenance.digital,#/$defs/DigitalProvenance,reorganized,digital_artifact.fields.notes,Original declaration retained; prose trail does not manufacture typed custody actions or a complete chain.,C2b archival
provenance.digital.hash,#/$defs/FileHash,revised,digital_artifact.fields.declaredHashes[].hash,Algorithm and valid hexadecimal digest retained together with artifact scope or unavailable-original description; MD5/SHA-1/SHA-512 never become SHA-256 identity. Invalid text remains unmapped.,C2b archival
provenance.digital.hash.algorithm,#/$defs/FileHash/properties/algorithm,revised,digital_artifact.fields.declaredHashes[].hash.algorithm,Algorithm and valid hexadecimal digest retained together with artifact scope or unavailable-original description; MD5/SHA-1/SHA-512 never become SHA-256 identity. Invalid text remains unmapped.,C2b archival
provenance.digital.hash.value,#/$defs/FileHash/properties/value,revised,digital_artifact.fields.declaredHashes[].hash.value,Algorithm and valid hexadecimal digest retained together with artifact scope or unavailable-original description; MD5/SHA-1/SHA-512 never become SHA-256 identity. Invalid text remains unmapped.,C2b archival
provenance.digital.additionalHashes,#/$defs/DigitalProvenance/properties/additionalHashes,reorganized,digital_artifact.fields.declaredHashes,Every hash retains algorithm and exact applies-to scope; not all legacy declarations describe the currently available bytes.,C2b archival
provenance.digital.additionalHashes[].algorithm,#/$defs/FileHash/properties/algorithm,revised,digital_artifact.fields.declaredHashes[].hash.algorithm,Algorithm and valid hexadecimal digest retained together with artifact scope or unavailable-original description; MD5/SHA-1/SHA-512 never become SHA-256 identity. Invalid text remains unmapped.,C2b archival
provenance.digital.additionalHashes[].value,#/$defs/FileHash/properties/value,revised,digital_artifact.fields.declaredHashes[].hash.value,Algorithm and valid hexadecimal digest retained together with artifact scope or unavailable-original description; MD5/SHA-1/SHA-512 never become SHA-256 identity. Invalid text remains unmapped.,C2b archival
provenance.digital.captureMetadata,#/$defs/CaptureMetadata,reorganized,digital_artifact.fields,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.device,#/$defs/CaptureMetadata/properties/device,reorganized,digital_artifact.fields.device,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.manufacturer,#/$defs/CaptureMetadata/properties/manufacturer,reorganized,digital_artifact.fields.manufacturer,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.model,#/$defs/CaptureMetadata/properties/model,reorganized,digital_artifact.fields.model,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.software,#/$defs/CaptureMetadata/properties/software,reorganized,digital_artifact.fields.software,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.originalFilename,#/$defs/CaptureMetadata/properties/originalFilename,reorganized,digital_artifact.fields.originalFilename,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.originalCreationDate,#/$defs/CaptureMetadata/properties/originalCreationDate,revised,digital_artifact.fields.originalCreationDate,Calendar precision retained without inventing a UTC time; unparseable date remains unmapped.,C2b archival
provenance.digital.captureMetadata.gpsCoordinates,#/$defs/CaptureMetadata/properties/gpsCoordinates,revised,digital_artifact.fields.gpsCoordinates,Latitude/longitude bounded. Altitude keeps numeric value with declared unit or explicit null for unknown unit; no meters or datum inferred.,C2b archival
provenance.digital.captureMetadata.gpsCoordinates.latitude,#/$defs/CaptureMetadata/properties/gpsCoordinates/properties/latitude,revised,digital_artifact.fields.gpsCoordinates.latitude,Latitude/longitude bounded. Altitude keeps numeric value with declared unit or explicit null for unknown unit; no meters or datum inferred.,C2b archival
provenance.digital.captureMetadata.gpsCoordinates.longitude,#/$defs/CaptureMetadata/properties/gpsCoordinates/properties/longitude,revised,digital_artifact.fields.gpsCoordinates.longitude,Latitude/longitude bounded. Altitude keeps numeric value with declared unit or explicit null for unknown unit; no meters or datum inferred.,C2b archival
provenance.digital.captureMetadata.gpsCoordinates.altitude,#/$defs/CaptureMetadata/properties/gpsCoordinates/properties/altitude,revised,digital_artifact.fields.gpsCoordinates.altitude,Latitude/longitude bounded. Altitude keeps numeric value with declared unit or explicit null for unknown unit; no meters or datum inferred.,C2b archival
provenance.digital.captureMetadata.metadataPreserved,#/$defs/CaptureMetadata/properties/metadataPreserved,reorganized,digital_artifact.fields.metadataPreserved,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.metadataStripped,#/$defs/CaptureMetadata/properties/metadataStripped,reorganized,digital_artifact.fields.metadataStripped,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.captureMetadata.strippedReason,#/$defs/CaptureMetadata/properties/strippedReason,reorganized,digital_artifact.fields.strippedReason,Sourced capture declaration distinct from artifact authentication; no metadata extraction is performed.,C2b archival
provenance.digital.verifications,#/$defs/DigitalProvenance/properties/verifications,reorganized,source_assertion.reportedArtifactReview[] or assessment.artifactReview[],"Separate claims for separate reviews; array notation here denotes multiple claims, not a review array in one claim.",C2b archival
provenance.digital.verifications[].verifier,#/$defs/ThirdPartyVerification/properties/verifier,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.verifier,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].organization,#/$defs/ThirdPartyVerification/properties/organization,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.organization,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].credentials,#/$defs/ThirdPartyVerification/properties/credentials,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.credentials,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].date,#/$defs/ThirdPartyVerification/properties/date,revised,source_assertion.reportedArtifactReview or assessment.artifactReview.reviewedAt,Review date retains partial calendar precision; assessment recording/evaluation times do not replace historical review time.,C2b archival
provenance.digital.verifications[].method,#/$defs/ThirdPartyVerification/properties/method,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.verificationMethod,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].methodDescription,#/$defs/ThirdPartyVerification/properties/methodDescription,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.methodDescription,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].result,#/$defs/ThirdPartyVerification/properties/result,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.result,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].confidence,#/$defs/ThirdPartyVerification/properties/confidence,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.confidence,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].findings,#/$defs/ThirdPartyVerification/properties/findings,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.findings,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.verifications[].reportUrl,#/$defs/ThirdPartyVerification/properties/reportUrl,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.reportUrl,"Preserve each reviewer declaration separately with provenance; an executed assessment also requires evaluator, method/version, time, rationale and inputs.",C2b archival
provenance.digital.provenanceChain,#/$defs/DigitalProvenance/properties/provenanceChain,reorganized,digital_artifact.fields.provenanceChainDescription,Original declaration retained; prose trail does not manufacture typed custody actions or a complete chain.,C2b archival
provenance.digital.manipulationDetected,#/$defs/DigitalProvenance/properties/manipulationDetected,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.manipulationDetected,Attributable result with exact artifact subject; passing structural checks cannot establish authenticity or manipulation.,C2b archival
provenance.digital.manipulationDescription,#/$defs/DigitalProvenance/properties/manipulationDescription,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.manipulationDescription,Attributable result with exact artifact subject; passing structural checks cannot establish authenticity or manipulation.,C2b archival
provenance.digital.authenticityAssessment,#/$defs/DigitalProvenance/properties/authenticityAssessment,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.result,Attributable result with exact artifact subject; passing structural checks cannot establish authenticity or manipulation.,C2b archival
provenance.digital.authenticityConfidence,#/$defs/DigitalProvenance/properties/authenticityConfidence,reorganized,source_assertion.reportedArtifactReview or assessment.artifactReview.confidence,Attributable result with exact artifact subject; passing structural checks cannot establish authenticity or manipulation.,C2b archival
provenance.digital.lastUpdated,#/$defs/DigitalProvenance/properties/lastUpdated,reorganized,digital_artifact.fields.lastUpdated,Original declaration retained; prose trail does not manufacture typed custody actions or a complete chain.,C2b archival
provenance.digital.notes,#/$defs/DigitalProvenance/properties/notes,reorganized,digital_artifact.fields.notes,Original declaration retained; prose trail does not manufacture typed custody actions or a complete chain.,C2b archival
identifiers,#/$defs/CrossReferences,reorganized,external_identifier[],Independent identifiers explicitly target this observation or one edition; primary display preference is a sourced field.,C2b archival
identifiers.primary,#/$defs/ExternalIdentifier,reorganized,external_identifier + external_identifier.fields.primaryDisplay,Selected display identifier is independent of identity/access verification.,C2b archival
identifiers.primary.system,#/$defs/ExternalIdentifier/properties/system,reorganized,external_identifier.fields.value[].content.value.system,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.primary.systemName,#/$defs/ExternalIdentifier/properties/systemName,reorganized,external_identifier.fields.value[].content.value.systemName,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.primary.value,#/$defs/ExternalIdentifier/properties/value,reorganized,external_identifier.fields.value[].content.value.value,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.primary.url,#/$defs/ExternalIdentifier/properties/url,reorganized,external_identifier.fields.value[].content.value.url,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.primary.verified,#/$defs/ExternalIdentifier/properties/verified,revised,identifier_check.fields.outcome,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.primary.verifiedDate,#/$defs/ExternalIdentifier/properties/verifiedDate,revised,identifier_check.fields.checkedAt,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.primary.accessible,#/$defs/ExternalIdentifier/properties/accessible,revised,identifier_check.fields.outcome,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.primary.accessCheckedDate,#/$defs/ExternalIdentifier/properties/accessCheckedDate,revised,identifier_check.fields.checkedAt,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.primary.notes,#/$defs/ExternalIdentifier/properties/notes,reorganized,external_identifier.fields.value[].content.value.notes,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.identifiers,#/$defs/CrossReferences/properties/identifiers,reorganized,external_identifier[],Independent identifiers explicitly target this observation or one edition; primary display preference is a sourced field.,C2b archival
identifiers.identifiers[].system,#/$defs/ExternalIdentifier/properties/system,reorganized,external_identifier.fields.value[].content.value.system,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.identifiers[].systemName,#/$defs/ExternalIdentifier/properties/systemName,reorganized,external_identifier.fields.value[].content.value.systemName,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.identifiers[].value,#/$defs/ExternalIdentifier/properties/value,reorganized,external_identifier.fields.value[].content.value.value,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.identifiers[].url,#/$defs/ExternalIdentifier/properties/url,reorganized,external_identifier.fields.value[].content.value.url,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
identifiers.identifiers[].verified,#/$defs/ExternalIdentifier/properties/verified,revised,identifier_check.fields.outcome,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.identifiers[].verifiedDate,#/$defs/ExternalIdentifier/properties/verifiedDate,revised,identifier_check.fields.checkedAt,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.identifiers[].accessible,#/$defs/ExternalIdentifier/properties/accessible,revised,identifier_check.fields.outcome,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.identifiers[].accessCheckedDate,#/$defs/ExternalIdentifier/properties/accessCheckedDate,revised,identifier_check.fields.checkedAt,"Dated sourced check of a specific identifier value assertion; access and identity outcomes are separate. Missing agent, method or date remains unknown; no live URL check is implied.",C2b archival
identifiers.identifiers[].notes,#/$defs/ExternalIdentifier/properties/notes,reorganized,external_identifier.fields.value[].content.value.notes,"Namespace, identifier value and public locator retained together; custom systems require a name or explicit unmapped declaration.",C2b archival
testimony[].sourceDocument.type,#/$defs/SourceReference/properties/type,reorganized,source_edition.fields.type,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
testimony[].sourceDocument.author,#/$defs/SourceReference/properties/author,reorganized,source_edition.fields.author,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
testimony[].sourceDocument.organization,#/$defs/SourceReference/properties/organization,reorganized,source_edition.fields.organization,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
testimony[].sourceDocument.date,#/$defs/SourceReference/properties/date,revised,source_edition.fields.issuedAt,Calendar precision retained in EventTimeValue; source wording of publication versus creation is retained and not guessed.,C2b archival
testimony[].sourceDocument.archiveUrl,#/$defs/SourceReference/properties/archiveUrl,revised,source_edition.fields.archiveUrl,"Declared public URL, never fetched. Invalid URL text remains an unmapped sourced value; private addresses must be withheld by the application.",C2b archival
testimony[].sourceDocument.reference,#/$defs/SourceReference/properties/reference,reorganized,source_edition.fields.reference,"Original citation text preserved; structured edition citations additionally bind page, time range or JSON pointer to exact artifact.",C2b archival
testimony[].sourceDocument.credibility,#/$defs/SourceReference/properties/credibility,reorganized,source_assertion.reportedArtifactReview.sourceCredibility or assessment.artifactReview.sourceCredibility,Retained tier vocabulary in an attributed statement or review with edition subject; no automatic credibility score.,C2b archival
testimony[].sourceDocument.isPrimarySource,#/$defs/SourceReference/properties/isPrimarySource,revised,source_edition.fields.isPrimarySource,"Boolean retained with context explaining primary in relation to what; missing context is unknown or unmapped, never invented.",C2b archival
testimony[].sourceDocument.classificationLevel,#/$defs/SourceReference/properties/classificationLevel,reorganized,source_edition.fields.classificationLevel or document_event,Retain wording and provenance without converting historical classification into a current marking; ambiguity remains unmapped or qualified.,C2b archival
testimony[].sourceDocument.notes,#/$defs/SourceReference/properties/notes,reorganized,source_edition.fields.notes,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
