baseline_path,schema_pointer,destination,disposition,meaning
movement.speed,#/$defs/Movement/properties/speed,reported_object.fields.speedDescription,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
movement.speedKmh,#/$defs/Movement/properties/speedKmh,reported_object.measurements[speed],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
movement.altitude,#/$defs/Movement/properties/altitude,reported_object.fields.altitudeDescription,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
movement.altitudeMeters,#/$defs/Movement/properties/altitudeMeters,reported_object.measurements[altitude],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
movement.heading,#/$defs/Movement/properties/heading,reported_object.measurements[heading],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
movement.flightPath,#/$defs/Movement/properties/flightPath,reported_object.fields.flightPath,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
movement.maneuvers,#/$defs/Movement/properties/maneuvers,reported_object.fields.maneuvers,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
movement.maneuverDescriptions,#/$defs/Movement/properties/maneuverDescriptions,reported_object.fields.maneuverDescriptions,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
movement.radarData,#/$defs/Movement/properties/radarData,reported_object.fields.radarContactReported,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
movement.infraredSignature,#/$defs/Movement/properties/infraredSignature,reported_object.fields.infraredSignatureReported,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
movement.trajectory,#/$defs/Movement/properties/trajectory,reported_object.fields.trajectoryDescription,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence,#/$defs/SensorEvidenceData,collection.fields + acquisition snapshot,reorganized,Container row; child rows specify ownership.
sensorEvidence.sensors,#/$defs/SensorEvidenceData/properties/sensors,acquisition snapshot + per-capture collection/platform entities,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].id,#/$defs/SensorReading/properties/id,acquisition.acquisitions[].id,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].sensorType,#/$defs/SensorReading/properties/sensorType,collection.fields.sensorType,reorganized,Retain the existing shared sensor-type vocabulary as sourced declarations.
sensorEvidence.sensors[].detectionMethod,#/$defs/SensorReading/properties/detectionMethod,collection.fields.detectionMethod + Observation.methods,reorganized,Retain the existing detection-method vocabulary and separately cite versioned methods.
sensorEvidence.sensors[].sensorRef,#/$defs/SensorReading/properties/sensorRef,acquisition.instruments[].id,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].platform,#/$defs/SensorReading/properties/platform,platform.fields,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].operator,#/$defs/SensorReading/properties/operator,platform.fields.operator,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].timestamp,#/$defs/SensorReading/properties/timestamp,acquisition.acquisitions[].time,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].duration,#/$defs/SensorReading/properties/duration,temporal.measurements[duration],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
sensorEvidence.sensors[].rawDataAvailable,#/$defs/SensorReading/properties/rawDataAvailable,collection.fields.rawDataAvailable,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].calibrated,#/$defs/SensorReading/properties/calibrated,acquisition.calibrations + channel calibration binding,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.sensors[].readings,#/$defs/SensorReading/properties/readings,Observation.measurements + native source/product bytes,revised,"Typed quantitative measurements replace arbitrary reading objects only when quantity, units and uncertainty can be stated. Uninterpreted payloads stay in native source artifacts; no numerical values are fabricated."
sensorEvidence.sensors[].notes,#/$defs/SensorReading/properties/notes,collection.fields.notes,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.multiSensorCorrelation,#/$defs/SensorEvidenceData/properties/multiSensorCorrelation,collection.fields.correlationDescription,revised,A sourced correlation declaration or context-targeted assessment retains the reported conclusion. A bare boolean is not proof of corroboration or fusion.
sensorEvidence.dataRetentionStatus,#/$defs/SensorEvidenceData/properties/dataRetentionStatus,collection.fields.retentionStatus,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
sensorEvidence.anomalies,#/$defs/SensorEvidenceData/properties/anomalies,collection.fields.anomalies,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
environment,#/$defs/Environment,environment.fields,reorganized,Container row; child rows specify ownership.
environment.weather,#/$defs/Environment/properties/weather,environment.fields.weather,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
environment.visibility,#/$defs/Environment/properties/visibility,environment.fields.visibility,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
environment.cloudCover,#/$defs/Environment/properties/cloudCover,environment.fields.cloudCover,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
environment.windSpeed,#/$defs/Environment/properties/windSpeed,environment.fields.windDescription,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
environment.temperature,#/$defs/Environment/properties/temperature,environment.measurements[ambient_temperature],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
environment.humidity,#/$defs/Environment/properties/humidity,environment.measurements[relative_humidity],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
environment.celestialConditions,#/$defs/Environment/properties/celestialConditions,environment.fields.celestialConditions,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
environment.moonPhase,#/$defs/Environment/properties/moonPhase,environment.fields.moonPhase,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
environment.precipitation,#/$defs/Environment/properties/precipitation,environment.fields.precipitation,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
aviation,#/$defs/Aviation,platform.fields,reorganized,Container row; child rows specify ownership.
aviation.aircraftType,#/$defs/Aviation/properties/aircraftType,platform.fields.type,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
aviation.aircraftDesignation,#/$defs/Aviation/properties/aircraftDesignation,platform.fields.designation,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
aviation.squadron,#/$defs/Aviation/properties/squadron,platform.fields.squadron,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
aviation.flightMission,#/$defs/Aviation/properties/flightMission,platform.fields.mission,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
aviation.altitude,#/$defs/Aviation/properties/altitude,platform.measurements[altitude],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
aviation.speed,#/$defs/Aviation/properties/speed,platform.measurements[speed],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
aviation.heading,#/$defs/Aviation/properties/heading,platform.measurements[heading],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
aviation.radarContact,#/$defs/Aviation/properties/radarContact,platform.fields.radarContact,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
aviation.weaponsSystemEngaged,#/$defs/Aviation/properties/weaponsSystemEngaged,platform.fields.weaponsSystemEngaged,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
aviation.interceptAttempted,#/$defs/Aviation/properties/interceptAttempted,platform.fields.interceptAttempted,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
schemaVersion,#/$defs/Observation/properties/schemaVersion,Observation.schemaVersion,existing,Published Observation contract unchanged; context has its own identity/version. Extensions do not establish typed domain coverage.
extensions,#/$defs/Observation/properties/extensions,Observation.extensions,existing,Published Observation contract unchanged; context has its own identity/version. Extensions do not establish typed domain coverage.
